predictor,model,param,spearman_rho,abs_rho,pdp_amp_norm,ale_amp_norm,cv_r2,nrmse_iqr,surrogate_name,trusted
prevalence,gru,learning_rate,-0.4,0.4,0.106,0.067,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,gru,weight_decay,0.953,0.953,0.743,0.316,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,gru,hidden_size,0.255,0.255,0.003,0.004,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,gru,num_layers,0.28,0.28,0.004,0.002,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,gru,dropout,-0.435,0.435,0.027,0.015,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,gru,lookback,-0.222,0.222,0.002,0.004,0.829,0.356,RandomForest(min_leaf=1),True
prevalence,lstm,learning_rate,-0.27,0.27,0.049,0.015,0.791,1.042,RandomForest(min_leaf=1),True
prevalence,lstm,weight_decay,0.93,0.93,0.594,0.994,0.791,1.042,RandomForest(min_leaf=1),True
prevalence,lstm,hidden_size,0.232,0.232,0.004,0.013,0.791,1.042,RandomForest(min_leaf=1),True
prevalence,lstm,num_layers,0.165,0.165,0.014,0.001,0.791,1.042,RandomForest(min_leaf=1),True
prevalence,lstm,dropout,0.662,0.662,0.028,0.021,0.791,1.042,RandomForest(min_leaf=1),True
prevalence,lstm,lookback,0.406,0.406,0.007,0.001,0.791,1.042,RandomForest(min_leaf=1),True
cases,gru,learning_rate,-0.312,0.312,0.044,0.069,0.449,0.703,RandomForest(min_leaf=1),True
cases,gru,weight_decay,0.82,0.82,1.048,0.809,0.449,0.703,RandomForest(min_leaf=1),True
cases,gru,hidden_size,-0.64,0.64,0.089,0.023,0.449,0.703,RandomForest(min_leaf=1),True
cases,gru,num_layers,-0.232,0.232,0.03,0.026,0.449,0.703,RandomForest(min_leaf=1),True
cases,gru,dropout,-0.18,0.18,0.047,0.07,0.449,0.703,RandomForest(min_leaf=1),True
cases,gru,lookback,0.597,0.597,0.015,0.006,0.449,0.703,RandomForest(min_leaf=1),True
cases,lstm,learning_rate,-0.525,0.525,0.098,0.15,0.745,0.574,RandomForest(min_leaf=1),True
cases,lstm,weight_decay,0.707,0.707,0.635,0.769,0.745,0.574,RandomForest(min_leaf=1),True
cases,lstm,hidden_size,-0.157,0.157,0.009,0.003,0.745,0.574,RandomForest(min_leaf=1),True
cases,lstm,num_layers,0.262,0.262,0.006,0.005,0.745,0.574,RandomForest(min_leaf=1),True
cases,lstm,dropout,-0.358,0.358,0.009,0.022,0.745,0.574,RandomForest(min_leaf=1),True
cases,lstm,lookback,-0.348,0.348,0.007,0.002,0.745,0.574,RandomForest(min_leaf=1),True
