,,ale_amp_norm,ale_amp_norm,cv_r2,cv_r2,pdp_amp_norm,pdp_amp_norm,spearman_rho,spearman_rho
model,,gru,lstm,gru,lstm,gru,lstm,gru,lstm
predictor,param,,,,,,,,
cases,dropout,0.07,0.022,0.449,0.745,0.047,0.009,-0.18,-0.358
cases,hidden_size,0.023,0.003,0.449,0.745,0.089,0.009,-0.64,-0.157
cases,learning_rate,0.069,0.15,0.449,0.745,0.044,0.098,-0.312,-0.525
cases,lookback,0.006,0.002,0.449,0.745,0.015,0.007,0.597,-0.348
cases,num_layers,0.026,0.005,0.449,0.745,0.03,0.006,-0.232,0.262
cases,weight_decay,0.809,0.769,0.449,0.745,1.048,0.635,0.82,0.707
prevalence,dropout,0.015,0.021,0.829,0.791,0.027,0.028,-0.435,0.662
prevalence,hidden_size,0.004,0.013,0.829,0.791,0.003,0.004,0.255,0.232
prevalence,learning_rate,0.067,0.015,0.829,0.791,0.106,0.049,-0.4,-0.27
prevalence,lookback,0.004,0.001,0.829,0.791,0.002,0.007,-0.222,0.406
prevalence,num_layers,0.002,0.001,0.829,0.791,0.004,0.014,0.28,0.165
prevalence,weight_decay,0.316,0.994,0.829,0.791,0.743,0.594,0.953,0.93
